views,likes,dislikes,comment_total
4394029,320053,5931,46245
7860119,185853,26679,0
5845909,576597,39774,170708
2642103,24975,4542,12829
1168130,96666,568,6666
1311445,34507,544,3040
666169,9985,297,1071
1728614,74062,2180,15297
1338533,69687,678,5643
1056891,29943,878,4046
859289,34485,726,1914
452477,28050,405,2745
258781,8085,303,726
274358,9215,477,838
473691,14740,415,1696
514972,18936,641,3817
282858,14870,300,1398
1582683,65749,1531,3598
479951,23945,640,1941
2693468,7941,302,1432
815608,66420,3578,5550
382525,1521,270,1168
703750,2921,2196,1042
255967,21817,293,2017
96872,3498,482,439
743947,6126,352,2438
10535242,384920,7550,23855
483360,16258,245,1588
3298456,65730,4360,9504
321297,15424,280,3317
752844,42290,359,3250
602127,19575,658,2510
136643,6218,127,524
244433,9143,6826,4838
917643,25456,731,1073
796896,39791,1252,3868
2932,71,3,15
224532,490,772,597
246389,15314,247,1842
165647,3712,142,524
162818,9531,416,1079
163656,19183,137,2154
220661,2070,449,352
142039,9889,130,1224
807779,26521,522,5996
1936893,74587,1060,6558
279903,4389,138,338
262875,1069,183,0
185541,12179,115,827
27794,1692,34,174
315347,19538,204,3172
46622,345,47,149
668027,3553,1629,889
1026622,61409,967,4097
1862110,38823,1999,6229
148998,2123,101,435
182676,3752,165,1163
379817,14096,323,1338
103807,119,23,67
44621,4165,121,537
48688,141,226,256
141532,9467,55,956
7740,70,1,7
16059,139,9,12
4618045,104899,2180,11355
4661584,17517,2543,2157
320880,3858,104,675
94123,520,34,96
134994,13901,69,1087
135280,2032,17,368
229235,9746,292,1119
14577,160,19,51
14706,1619,33,201
543283,33686,931,14935
39338,2377,103,484
62884,6003,72,364
196016,5080,56,434
2526119,17110,677,5311
43199,3263,7,294
1157495,15333,990,4641
42734,0,0,0
16653,83,10,27
416462,20164,297,2597
470206,942,137,582
2604761,28651,2256,6878
332176,14279,626,1927
7189818,26771,3925,123
330895,18023,112,1017
230701,11767,184,1519
358661,3498,24056,6420
101248,4679,93,331
498183,6300,112,789
1462030,74679,1502,3881
4774911,32276,12757,4103
2433292,123805,1069,9275
295156,10918,149,781
165849,3391,297,374
322896,8516,470,663
1617247,83419,1014,7114
185928,6156,129,320
265833,3995,197,256
28038,845,41,344
91229,270,62,211
188162,1990,266,192
157437,19869,78,2027
329459,1158,188,439
1153128,45408,4311,5708
1769252,8048,2123,3359
381229,11618,452,1663
260164,2405,121,259
1275489,2678,494,895
9025,53,1,16
13892,327,29,86
216040,9301,140,349
2036428,41039,2671,15607
50155,251,27,146
659749,3964,712,278
1007014,57545,570,3333
7410,48,2,0
158816,206,67,153
2330211,4893,938,381
1002,8,0,3
622951,13260,493,1751
92783,6491,54,339
352284,13099,508,1297
8692,340,16,36
788310,17141,1054,5521
113400,1049,20,297
163404,3337,111,447
352119,12880,195,517
119124,742,48,404
7009,45,0,9
92656,895,22,143
53712,203,4,25
763632,51890,194,4852
5044462,183483,16582,19443
2874,104,0,15
1307902,19734,984,3029
19431,87,2,10
229636,7897,47,781
171000,454,85,290
1812471,133824,5380,23176
11830,200,3,22
1851893,24779,2844,2242
4801,28,0,8
55214,258,5,99
116337,17,10,2
387873,12099,458,1771
406327,20499,516,6361
108653,3606,109,699
77640,2223,221,390
173773,9188,166,876
1106140,38670,1576,1470
952945,17703,3207,0
277903,13343,212,6348
700036,49257,995,4863
2384595,50009,1918,6584
1712,15,0,4
13794,40,49,0
834567,20322,876,862
443606,4231,68,246
1493731,23472,3490,5872
13728070,468636,6597,20989
4850078,146460,8649,4896
108839,3677,107,732
614717,49443,1986,3970
1244953,29748,2639,4112
1862718,21516,1960,2108
2114219,77679,1874,4529
11533,51,7,29
109422,200,14,0
349856,4403,140,335
447037,25068,710,1299
226012,9353,156,1282
3998451,291383,11624,24246
82199,1194,51,194
41962,1445,50,268
36323498,1431683,28049,100661
25652,73,11,62
7563,344,1,21
845694,64515,625,4325
316616,10084,104,331
3027926,76505,2880,6414
463409,19286,393,2304
4761358,50802,1128,8606
376381,8909,170,334
30851,261,65,49
13752002,46101,4898,0
433708,24188,712,2383
2465146,179085,1567,11973
836472,19314,1206,0
599780,29851,299,453
106186,4695,193,396
626600,20553,1033,2138
384682,21302,353,1559
2451184,176110,1017,6257
480279,26662,241,557
189414,7070,112,288
103666,196,67,80
74494,2218,37,159
1110865,11255,1817,3631
235562,1801,78,96
1798895,26425,465,2278
12200526,258842,44339,0
5457497,349857,17479,52483
3654879,30836,6101,16713
1398322,35880,619,6246
1568852,174771,2166,19191
558820,4847,259,1083
761705,32608,1562,6864
6997601,626155,46445,190979
504827,29220,457,2233
580441,2520,533,977
2084309,128402,1136,8733
909358,14539,672,1353
1119034,12843,560,1367
3087549,93812,3067,19758
380266,11558,1286,1783
83219,157,190,406
1673317,40496,678,3915
393968,10053,596,1191
990274,22897,639,2430
86119,1835,18,230
1668188,88182,5893,7373
705475,34506,549,3180
515740,37881,538,8313
367178,5296,199,2422
751902,22556,870,4638
1341911,33111,1035,4709
413029,18228,404,1671
1637683,76343,936,6052
87153,220,43,115
1130469,39886,876,2347
378178,25046,1112,2510
292585,16909,325,1845
41452,485,244,318
2741837,72782,7146,18239
586091,26816,778,2165
2995809,9467,371,1709
712467,33015,863,4018
159643,4389,651,603
1805185,72625,1714,4056
71109,4127,50,299
1091878,49500,538,3886
53673,1208,45,118
396448,1557,292,1368
50518,1237,30,118
11475555,398514,8158,24861
772128,21783,813,2839
310527,23994,373,2224
232505,498,793,642
22004,38,15,6
55614,2433,84,453
111776,4857,68,311
240156,7977,189,798
17777,15,0,6
478747,54551,306,3702
19105,154,20,20
13459,223,2,23
579532,17845,277,1852
65650,403,57,175
829793,6501,386,2582
429138,18017,343,3900
91333,6871,183,705
1461358,35312,1062,6077
22490,1939,15,156
93030,6162,81,564
229037,4137,157,587
3506621,67469,4459,8750
285838,31544,422,3563
35101,172,5,47
205103,10947,471,1206
971177,19477,1157,8125
1180879,47871,1640,4295
564175,33359,489,4152
61085,3797,9,362
213321,12990,138,1403
222206,21395,150,2298
675609,3571,1640,920
947706,25968,741,1139
111295,122,25,74
892442,27575,554,6161
219849,3905,181,1329
310292,4598,155,371
214484,12908,125,937
2511218,90146,1320,7936
116342,569,37,121
496275,25070,236,3634
86268,6084,48,686
81215,3716,228,494
40606,4296,11,605
267179,1071,184,0
376653,21239,220,3538
45843,2548,115,504
25912,1602,22,114
165684,15485,77,1180
12588,1330,4,119
70220,6395,80,388
1247138,68793,1092,4582
51223,0,0,0
59907,152,248,286
158781,10142,60,1003
410406,14671,344,1407
1918194,39488,2017,6311
179786,2642,25,466
19880,112,3,28
304490,10871,171,385
618587,35336,1143,16645
329508,3915,105,697
274315,16268,266,1965
4959620,18534,2723,2450
4830992,107674,2276,11743
150257,10185,137,1107
264911,11034,304,1231
1170059,15377,996,4695
54816,4499,129,640
364857,3521,24218,6501
2817086,18485,723,5728
9396,76,2,13
482681,949,138,598
151736,2153,102,444
24701,119,11,54
372944,15547,646,2081
56016,351,12,20
2711006,29072,2279,7081
19753,112,5,10
348472,18538,115,1070
7198312,26768,3932,147
252323,12482,202,1635
17270,1749,39,213
122462,5058,107,355
1490599,75508,1519,3978
352810,4636,239,331
541705,6617,117,901
5107032,33851,13164,4404
204553,5164,57,447
307749,11202,150,800
2555997,126897,1115,9470
426636,20387,304,2612
1681417,85017,1038,7196
197356,6357,142,357
170608,3442,303,381
28456,849,41,357
91906,270,62,219
168561,20645,81,2100
329907,1158,190,434
1043993,58482,588,3389
1228127,47168,4719,6048
16296,361,32,85
1297769,2727,514,934
1774499,8057,2128,3396
200970,2034,271,199
11811,401,17,50
415382,12329,469,1746
10892,60,1,26
2064406,41329,2694,15667
273256,2408,121,263
50537,251,27,150
667703,3996,722,280
137388,974,76,691
9354,53,2,0
326281,8616,472,680
168512,224,72,182
2333602,4894,940,445
1097,9,0,7
645414,13560,495,1792
103175,6708,68,345
122620,756,49,445
358204,13019,196,521
943682,59232,236,5468
808962,17617,1060,5684
180554,3458,113,459
8075,55,0,6
96468,914,23,159
54261,203,4,30
80647,475,23,106
2953,105,0,21
19468,87,2,14
5292941,187251,17328,19816
231371,7945,47,786
1361619,20383,1020,3113
1849541,135169,5430,23408
1984548,25976,2917,2345
15093,210,3,26
5266,29,0,13
456328,4309,69,264
58026,274,5,105
396083,12221,463,1772
122194,22,12,5
414089,20839,521,6595
110816,3644,110,719
79080,2248,225,395
177155,9287,166,881
1139838,39393,1607,1519
174184,462,86,303
723981,50162,1000,4923
920080,21350,907,909
1749,15,0,9
14682,44,50,0
5127806,149929,8827,4964
496221,7571,521,1215
1824481,135734,1086,16234
544518,11937,1186,2333
1456039,54715,374,4067
1009649,9582,917,2779
1921063,20278,4008,7615
224878,5144,1135,999
1202045,34089,604,1055
6570611,746023,6687,102758
667937,48069,1015,2956
3622082,47583,994,4017
755108,74326,947,10379
921642,22071,1030,9138
755399,8424,767,866
847140,9325,650,1943
134887,549,242,485
2889867,222514,3288,23539
1578630,63141,1198,8810
960930,42549,775,3130
15731493,321403,57528,0
5854127,361422,22023,54671
1262710,42471,2547,8880
1937598,42203,836,7351
146749,400,458,1018
4257519,33617,6882,18323
42993,2010,59,189
329649,13226,337,2726
283060,5432,191,477
168353,7105,210,241
69042,5742,27,337
47369,2137,41,201
198260,1170,1325,1106
118491,2130,96,505
149552,6076,218,521
37460,2789,38,250
239956,15696,228,1915
55165,3312,118,467
7706359,659184,50584,199406
320296,6445,346,1247
677009,3097,755,1405
1276245,17804,912,1662
92947,4578,580,735
2587501,144171,1481,9933
3970421,107888,3861,22556
21421,166,28,92
219193,7936,165,1008
517133,14122,1718,2237
54377,3602,73,660
8418,20,94,59
166176,2921,49,404
172189,980,10,125
1268813,13834,670,1251
83356,608,32,70
186264,7703,544,1421
1360621,85965,1959,14243
195726,19447,34,1449
131335,11843,65,937
71187,390,5,27
64584,6610,52,391
129102,2432,295,1314
545072,25553,585,3016
1879131,43783,737,4341
139837,299,63,210
1704887,31922,1348,5073
625573,42524,653,9323
170124,2614,68,369
22975,22,1,40
2453843,104520,7808,7083
431464,10379,628,1025
30563,192,3,21
52532,1340,5,131
205267,8686,118,1976
868054,24364,976,4644
495762,6520,252,2910
181104,6500,101,375
86623,1924,48,213
944026,40807,672,3650
78103,387,30,29
2782871,203997,1054,16847
3572241,86493,9501,22016
185529,9801,297,1009
686662,35138,321,4762
483683,20265,450,1888
15681,57,0,9
1494086,35533,1135,5328
927303,38322,1099,3667
21083,1115,18,156
1755094,79451,1038,6290
165983,7999,124,759
1271855,43039,986,1955
444082,40292,530,4308
180370,14836,247,3052
25122,205,29,66
1297760,5693,1625,3561
213820,5137,743,766
648273,28646,845,2352
3165464,10556,446,1616
96381,3045,458,419
18335,269,4,62
1985761,78518,1879,3926
75427,1558,63,186
1379413,55269,694,4383
46955,1685,262,648
27429,430,15,363
48562,2268,36,137
896164,23663,911,3139
124487,4471,307,617
342410,25617,387,2360
12208330,411682,8567,21046
41169,178,6,79
43981,7258,37,1537
282915,8924,209,942
654311,65224,392,4188
1004055,46870,817,5114
104166,152,39,36
650931,19203,309,2088
1546536,36722,1111,6460
77810,4298,16,419
490309,19610,386,3079
263630,4451,169,666
1072349,20846,1260,8703
3689337,69240,4547,9039
78220,2053,41,121
1424830,54077,1848,4710
46574,1530,36,251
234972,501,798,684
247504,14354,156,1554
287672,24003,168,2502
12954,0,0,0
32056,1051,27,153
151594,1214,65,239
88235,4752,62,395
95900,6507,67,726
971242,26435,748,1055
999412,29142,616,6399
118315,131,27,72
3012697,103685,1534,7761
240887,4015,196,1307
554486,26842,262,3918
36740,2649,23,206
17577,1654,12,160
188410,546,14,0
69071,148,5,33
64817,2682,92,511
267907,1072,184,0
406343,12581,213,471
186965,16782,81,1249
422306,22594,249,3845
33997,180,10,67
1465819,75284,1188,4244
32489,3979,12,258
76023,6729,84,441
56311,0,0,0
298016,5118,46,754
1968008,40143,2033,4709
49254,2668,117,547
169585,10610,63,1109
132165,638,48,140
682207,3589,1652,954
686381,36812,1322,15557
294571,17028,285,1634
5287771,19798,2919,2275
335308,3947,105,661
18744,1830,46,264
301893,12305,332,1094
5027180,110390,2363,12177
51785,4965,13,679
156899,10461,143,1203
1178955,15427,1003,4730
3101709,19954,773,6239
65718,159,258,278
154746,2186,102,467
368018,3531,24306,6466
61933,4848,137,699
4906976,2473,1582,36
216713,5329,60,471
389363,16146,648,1686
489523,954,139,602
34255,149,11,85
361683,19006,122,1128
282594,13479,235,1461
518533,5847,290,413
574541,6854,129,982
1516624,76278,1541,3989
143859,5489,126,361
2813499,29658,2316,7275
2751415,131470,1174,9680
5952,209,14,29
109331,2870,101,537
5502137,35892,13695,4523
2223,261,0,31
437796,20699,312,2277
201901,10034,148,591
119730,5533,73,693
140494,391,7,27
28768,850,41,274
208370,6608,151,393
10851,1023,8,111
59706,365,12,45
1738837,86547,1065,7331
585176,3334,1342,6369
4085560,198696,11446,21514
290939,6341,1613,1053
436361,7828,854,1188
616112,1207,436,1551
2167963,49804,4472,15358
1302666,22810,3615,5460
408822,3964,1156,1227
1040038,12692,978,2083
209816,2672,204,256
3542861,323439,5411,21570
713391,3204,143,582
374344,42116,229,6046
122900,8278,278,1987
238746,9567,169,991
347928,16829,527,2111
208156,12671,173,1688
2333182,155627,1463,18215
1681290,79888,810,20228
2473453,115156,1149,8206
251986,11494,163,1768
346500,9275,1606,1653
2137663,50615,1001,1655
2206069,66696,557,5332
171110,14306,111,1028
514723,18926,1044,2429
322790,6531,1718,1406
308063,950,547,947
64374,359,139,910
1173691,64045,1667,3646
132079,3440,142,244
656980,22667,419,3212
2138396,22501,4440,6835
1429515,232107,626,26197
1170082,35833,469,4710
693376,58213,729,8910
87663,9897,81,676
11494007,956288,10369,125246
1133919,41128,269,1966
91673,3258,55,349
1314571,96802,1556,9813
564319,23238,447,2126
1538991,33124,1071,5084
222677,15266,314,1019
745209,53345,378,3828
566224,31738,583,4296
454734,49951,168,3935
323077,13862,520,2221
45382,1268,7,146
254289,8443,366,309
15616,26,129,92
1257169,75023,882,11988
39638,246,2,25
35272,299,43,366
4789657,59921,1247,3796
79717,2793,96,298
296325,14903,555,1540
362844,30831,140,5376
293148,1315,1597,1094
999381,11123,784,2211
840615,9275,820,850
138512,5910,778,930
3735099,247833,3871,24307
162699,471,511,1287
1943149,71749,1593,9973
86655,3896,96,511
130074,4776,73,374
140404,9708,45,440
33686,200,33,133
97595,4829,200,648
1155840,48018,916,2990
142282,9672,111,509
384135,7137,240,645
12924,944,7,77
18082737,359392,64933,0
68044,11632,30,634
591039,26543,585,3046
112174,499,5,41
88087,4447,96,800
141997,2399,111,568
113565,7870,37,569
2162054,45015,917,7757
5997736,366401,22885,39626
99739,683,35,78
4489199,34622,7120,12812
395376,7594,428,1053
142583,2577,334,1398
47399,245,4,30
107072,335,6,34
63124,1481,6,148
14327,500,3,43
630887,8478,164,587
152008,316,63,272
172466,6592,234,590
257919,8634,179,1079
79920,5028,72,630
187405,2912,98,417
219423,3294,56,495
2846092,152496,1645,8941
50981,3376,42,330
8002631,672775,52253,128771
707295,3286,808,1274
200657,15624,96,1260
446140,10480,638,1090
27935,1361,22,206
1463155,90329,2104,14662
69693,1987,328,757
703033,30469,762,3693
146782,637,52,65
2036524,36292,1486,4335
3058570,116464,8998,7885
225692,7364,128,467
190020,2761,82,415
2047674,45956,823,3534
105494,2272,52,303
650478,43748,678,9616
507320,42844,553,4567
59733,3195,15,228
82625,15128,64,2344
232764,9435,138,2092
179986,1016,13,141
916980,25042,1009,4799
146236,188,50,95
197056,15810,265,3230
529834,6842,266,3055
1119164,44538,736,3150
213446,8965,146,829
287267,17652,277,2029
762446,37871,340,3578
4047407,93363,10688,19783
2970992,212293,1089,17391
519986,21285,485,1597
286237,14805,159,1294
1584633,36839,1191,4421
1825387,81519,1065,4470
1072359,41380,1225,3903
1355374,44935,1047,2096
1423205,6017,1724,2817
255271,5630,797,653
248158,11312,378,1169
51357,7892,44,1633
24817,22,1,101
217417,20907,35,1584
16405,0,0,0
3306664,11439,488,1748
123746,1238,99,91
12912064,422911,8965,21513
679543,29584,872,2118
152026,4878,350,695
68332,2777,41,193
1553895,58282,788,4556
2120100,82510,1997,4192
804340,73825,461,4530
35011,1262,62,421
66685,5936,21,311
83119,1695,66,235
365116,26710,392,2476
961827,24567,961,2753
100016,6696,78,679
67156,182,7,94
1496784,61212,1247,6124
305803,9581,216,995
105350,2208,48,125
100118,3156,466,429
26481,215,29,81
205498,12930,209,2479
30846,453,17,435
59135,1604,36,183
403747,1586,298,767
292661,4704,187,632
103179,169,5,81
95741,4749,20,487
1596548,37556,1144,6731
94842,5011,69,438
536693,20794,419,3367
43252,7930,20,826
20931,302,4,79
18089,1157,13,124
265660,14984,164,1378
52941,1719,38,319
1136677,21584,1318,8985
209132,1608,83,250
1667035,58956,1989,5079
355558,26495,181,2266
3794392,70200,4587,9142
235474,501,799,724
250559,4073,200,1361
1085106,30373,660,5581
986576,26725,759,1124
48585,235,14,116
3304860,111619,1664,8363
26054,1607,44,145
232082,632,22,0
556461,27542,295,2967
593522,27950,283,3416
70553,2846,96,554
123000,132,27,96
18614,146,10,17
40511,2814,26,259
1243,4,1,0
2557131,105292,4152,21600
5189928,249525,188836,101387
888666,13331,4298,2607
10944706,333571,22694,31875
1367572,69585,869,11670
958557,4449,1946,8408
124361,3239,206,393
428150,14225,606,2341
794350,36062,694,4684
184418,11561,475,1415
866712,13740,1420,2204
883661,8850,833,1123
2301798,111571,2980,6153
1913379,129744,4313,15172
697423,3303,351,0
3308652,61918,6168,19388
22200,258,20,66
142517,9381,134,1429
430772,20614,230,3756
494594,1757,222,1573
923246,2159,843,2324
630274,33856,457,2187
1715898,96479,1271,8973
300654,5195,592,942
722288,6019,2162,1957
78909,3690,151,667
1611838,26492,4288,6514
402819,4174,407,462
1318301,14943,1079,1724
643106,52876,365,6094
203117,10897,460,2545
649911,25885,908,3164
351832,11518,288,1193
1101135,4655,201,558
34240,1898,25,166
4175780,361052,6677,23243
63612,5203,250,2322
569448,12799,2209,1899
48720,713,9,67
2554293,164754,1597,18934
1968311,86214,910,21538
292896,12609,207,1940
104520,2039,23,260
37261,803,61,238
83906,422,189,1149
2373665,277868,1006,24267
3150095,131981,1512,9159
668186,21171,1443,2311
225785,6143,127,537
2856877,62776,1268,1500
382515,1132,659,1094
47906,358,58,438
174974,4721,100,542
2497096,72029,621,5921
135116,12924,125,809
385798,20113,476,1232
195492,4244,182,289
362611,7037,1853,1573
36900,2091,74,452
126103,15926,53,809
722624,35824,730,4923
1560465,74611,1997,3552
46311,288,8,22
1570276,48988,338,2222
31651,1532,24,126
852121,65212,911,6799
717404,23900,442,3329
2237810,23184,4577,6973
13501685,1013883,11581,157635
1733474,108832,1883,10698
1275738,37495,503,3601
885969,9772,849,730
674348,26026,547,2342
207054,19325,176,1870
871707,59110,427,4096
558989,56452,203,4159
394417,15786,590,2065
251942,14093,215,1817
332898,16175,614,1378
95229,3135,108,318
175751,1877,42,140
286065,8837,406,315
1380990,79919,966,12703
32853,734,7,78
174170,11310,54,498
432275,32794,160,4534
1880966,37115,1235,4211
1088163,12106,868,1789
139123,617,7,37
104556,4391,110,597
138958,1227,15,107
168664,474,8,51
164771,6633,853,1041
4272775,259507,4137,19035
216512,12440,142,574
397771,1332,1630,1099
2142941,75361,1696,8481
3395,180,0,7
59450,398,63,158
1213663,49377,937,3003
106825,4806,106,785
107323,4761,35,560
408785,7205,244,526
285667,9023,184,888
130634,8583,40,646
19707391,381919,69465,0
735378,9978,179,709
153943,2616,114,518
648076,28204,626,3133
157761,7910,280,863
51836,271,5,32
36948,63,2,0
2333102,46801,954,5702
16376,26,131,93
6109026,369963,23207,38850
436715,8099,447,1094
4633101,35111,7231,12823
220338,3158,108,336
83980,2119,351,620
36595,208,34,117
58686,3683,45,387
251788,3553,64,346
184224,6830,243,451
110540,726,38,49
310826,21111,155,1693
34972,2008,19,83
89617,5362,76,668
731197,3447,835,1199
454794,10554,644,1001
145407,2615,355,1251
8347038,687381,54352,130106
3037052,157883,1779,9107
72981,10156,32,890
256804,7823,141,366
32639,1471,23,216
52752,2410,37,201
213404,833,68,53
1513874,92549,2175,14951
868741,35004,945,3755
116960,17372,78,2583
118637,2486,60,136
67327,1513,6,112
2259149,38699,1573,4566
266816,10184,189,828
662501,44331,685,6640
3501124,123557,9636,8211
2156550,47051,849,3314
251472,9892,145,2160
158271,320,63,139
207227,2918,84,344
207999,16425,273,2529
3331,373,3,55
943474,25418,1031,4786
323710,18879,303,1618
314127,15315,178,1029
804842,39315,352,3744
86098,6848,30,275
1261482,47349,798,3205
4484393,98828,11533,20901
69148,3526,16,229
3122153,218697,1141,17755
549702,21980,505,1567
1771274,109494,3629,20727
56164,8211,55,1421
182568,1032,13,119
1434594,46448,1080,2004
1232902,44449,1357,4118
298514,12411,436,1001
1644821,37539,1218,4278
171358,5130,376,561
14598,1432,6,140
291410,6117,832,600
168645,205,56,3
533397,43681,569,3593
87279,3197,49,179
1521364,6246,1804,2885
123053,2293,55,110
252615,22516,48,1643
25211,22,1,0
1726470,60575,875,4609
125255,1247,100,68
13686054,432783,9367,21853
15598,141,0,29
711888,30520,903,2137
927856,79631,505,3930
2141691,74997,1641,5891
77053,2007,50,236
3447192,12246,535,1743
382354,27393,395,1988
88447,1774,67,176
1640353,38242,1160,6931
2227312,85408,2060,4287
345495,10170,230,872
3411,61,0,11
1016805,25299,998,2705
428075,28530,189,2291
238220,504,807,658
217735,13284,218,2483
102334,3245,471,407
100731,5210,71,302
703133,28349,659,3316
436907,7696,346,629
50478,1149,260,533
3316413,179081,3978,30850
4443002,151423,9287,31293
56551,1073,354,761
1304884,7306,1249,5175
973059,78245,1831,12621
417741,7268,655,940
1431367,41867,1817,3875
6987691,279751,271351,85949
8795,202,60,69
786180,19278,1208,3328
547337,31942,655,3183
1213185,16818,5553,2636
15906520,415114,29669,31425
2278284,138872,7077,11177
1826347,82533,1336,12968
396308,15974,594,2890
86898,764,74,170
16506,448,30,53
5551,103,114,53
1266616,11561,1233,1073
488750,5814,209,1224
818526,3466,443,0
970111,39892,1088,3914
2583811,119607,3847,4893
596689,24701,357,4613
4008289,68589,7090,18636
152090,1429,37,84
1131278,51617,847,2744
1096173,2829,1124,2891
422209,6278,868,1229